year,event_id,match_id,match_date,match_surface,match_court,match_round,tournament_name,tournament_city,tournament_draw,loser_name,winner_name,match_score,match_time,loser_aces_all,loser_aces_1st,loser_aces_2nd,loser_aces_3rd,loser_aces_4th,loser_aces_5th,winner_aces_all,winner_aces_1st,winner_aces_2nd,winner_aces_3rd,winner_aces_4th,winner_aces_5th,loser_double_faults_all,loser_double_faults_1st,loser_double_faults_2nd,loser_double_faults_3rd,loser_double_faults_4th,loser_double_faults_5th,winner_double_faults_all,winner_double_faults_1st,winner_double_faults_2nd,winner_double_faults_3rd,winner_double_faults_4th,winner_double_faults_5th,loser_serve_rating_all,loser_serve_rating_1st,loser_serve_rating_2nd,loser_serve_rating_3rd,loser_serve_rating_4th,loser_serve_rating_5th,winner_serve_rating_all,winner_serve_rating_1st,winner_serve_rating_2nd,winner_serve_rating_3rd,winner_serve_rating_4th,winner_serve_rating_5th,loser_first_serve_all,loser_first_serve_1st,loser_first_serve_2nd,loser_first_serve_3rd,loser_first_serve_4th,loser_first_serve_5th,winner_first_serve_all,winner_first_serve_1st,winner_first_serve_2nd,winner_first_serve_3rd,winner_first_serve_4th,winner_first_serve_5th,loser_first_serve_points_all,loser_first_serve_points_1st,loser_first_serve_points_2nd,loser_first_serve_points_3rd,loser_first_serve_points_4th,loser_first_serve_points_5th,winner_first_serve_points_all,winner_first_serve_points_1st,winner_first_serve_points_2nd,winner_first_serve_points_3rd,winner_first_serve_points_4th,winner_first_serve_points_5th,loser_second_serve_points_all,loser_second_serve_points_1st,loser_second_serve_points_2nd,loser_second_serve_points_3rd,loser_second_serve_points_4th,loser_second_serve_points_5th,winner_second_serve_points_all,winner_second_serve_points_1st,winner_second_serve_points_2nd,winner_second_serve_points_3rd,winner_second_serve_points_4th,winner_second_serve_points_5th,loser_break_points_saved_all,loser_break_points_saved_1st,loser_break_points_saved_2nd,loser_break_points_saved_3rd,loser_break_points_saved_4th,loser_break_points_saved_5th,winner_break_points_saved_all,winner_break_points_saved_1st,winner_break_points_saved_2nd,winner_break_points_saved_3rd,winner_break_points_saved_4th,winner_break_points_saved_5th,loser_service_games_played_all,loser_service_games_played_1st,loser_service_games_played_2nd,loser_service_games_played_3rd,loser_service_games_played_4th,loser_service_games_played_5th,winner_service_games_played_all,winner_service_games_played_1st,winner_service_games_played_2nd,winner_service_games_played_3rd,winner_service_games_played_4th,winner_service_games_played_5th,loser_return_rating_all,loser_return_rating_1st,loser_return_rating_2nd,loser_return_rating_3rd,loser_return_rating_4th,loser_return_rating_5th,winner_return_rating_all,winner_return_rating_1st,winner_return_rating_2nd,winner_return_rating_3rd,winner_return_rating_4th,winner_return_rating_5th,loser_first_serve_return_points_all,loser_first_serve_return_points_1st,loser_first_serve_return_points_2nd,loser_first_serve_return_points_3rd,loser_first_serve_return_points_4th,loser_first_serve_return_points_5th,winner_first_serve_return_points_all,winner_first_serve_return_points_1st,winner_first_serve_return_points_2nd,winner_first_serve_return_points_3rd,winner_first_serve_return_points_4th,winner_first_serve_return_points_5th,loser_second_serve_return_points_all,loser_second_serve_return_points_1st,loser_second_serve_return_points_2nd,loser_second_serve_return_points_3rd,loser_second_serve_return_points_4th,loser_second_serve_return_points_5th,winner_second_serve_return_points_all,winner_second_serve_return_points_1st,winner_second_serve_return_points_2nd,winner_second_serve_return_points_3rd,winner_second_serve_return_points_4th,winner_second_serve_return_points_5th,loser_break_points_converted_all,loser_break_points_converted_1st,loser_break_points_converted_2nd,loser_break_points_converted_3rd,loser_break_points_converted_4th,loser_break_points_converted_5th,winner_break_points_converted_all,winner_break_points_converted_1st,winner_break_points_converted_2nd,winner_break_points_converted_3rd,winner_break_points_converted_4th,winner_break_points_converted_5th,loser_total_service_points_won_all,loser_total_service_points_won_1st,loser_total_service_points_won_2nd,loser_total_service_points_won_3rd,loser_total_service_points_won_4th,loser_total_service_points_won_5th,winner_total_service_points_won_all,winner_total_service_points_won_1st,winner_total_service_points_won_2nd,winner_total_service_points_won_3rd,winner_total_service_points_won_4th,winner_total_service_points_won_5th,loser_total_return_points_won_all,loser_total_return_points_won_1st,loser_total_return_points_won_2nd,loser_total_return_points_won_3rd,loser_total_return_points_won_4th,loser_total_return_points_won_5th,winner_total_return_points_won_all,winner_total_return_points_won_1st,winner_total_return_points_won_2nd,winner_total_return_points_won_3rd,winner_total_return_points_won_4th,winner_total_return_points_won_5th,loser_total_points_won_all,loser_total_points_won_1st,loser_total_points_won_2nd,loser_total_points_won_3rd,loser_total_points_won_4th,loser_total_points_won_5th,winner_total_points_won_all,winner_total_points_won_1st,winner_total_points_won_2nd,winner_total_points_won_3rd,winner_total_points_won_4th,winner_total_points_won_5th
2022,7696,2022/7696/MS008,2022-11-08,Hard,Centre Court,Round Robin,Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Matteo Arnaldi,Brandon Nakashima,"2-4, 4-3, 4-3, 3-4, 4-2",02:10:14,11,5,1,4,1,0,6,2,2,0,1,1,5,0,3,0,2,0,0,0,0,0,0,0,279,389,218,316,270,246,282,233,237,332,276,302,61/95,12/13,14/27,11/19,15/22,9/14,63/99,11/19,15/24,14/21,15/19,8/16,48/61,11/12,10/14,10/11,12/15,5/9,48/63,9/11,11/15,11/14,12/15,5/8,17/34,1/1,4/13,5/8,4/7,3/5,20/36,2/8,3/9,6/7,2/4,7/8,1/4,0/0,0/1,0/0,1/2,0/1,9/12,6/7,2/3,0/0,1/2,0/0,15,3,3,3,3,3,15,3,3,3,3,3,113,140,160,35,153,51,166,8,231,47,146,217,15/63,2/11,4/15,3/14,3/15,3/8,13/61,1/12,4/14,1/11,3/15,4/9,16/36,6/8,6/9,1/7,2/4,1/8,17/34,0/1,9/13,3/8,3/7,2/5,3/12,1/7,1/3,0/0,1/2,0/0,3/4,0/0,1/1,0/0,1/2,1/1,65/95,12/13,14/27,15/19,16/22,8/14,68/99,11/19,14/24,17/21,14/19,12/16,31/99,8/19,10/24,4/21,5/19,4/16,30/95,1/13,13/27,4/19,6/22,6/14,96/194,20/32,24/51,19/40,21/41,12/30,98/194,12/32,27/51,21/40,20/41,18/30
2022,7696,2022/7696/MS010,2022-11-08,Hard,Centre Court,"",Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Matteo Arnaldi,Francesco Passaro,"4-3, 2-4, 3-4, 4-3, 4-3",02:38:24,4,1,1,1,1,0,8,2,0,2,1,3,2,1,0,0,1,0,5,2,1,1,0,1,280,315,290,314,232,236,269,306,252,293,239,238,79/111,20/25,8/17,17/21,14/22,20/26,73/113,17/25,11/17,16/22,14/24,15/25,56/79,15/20,6/8,14/17,9/14,12/20,53/73,15/17,6/11,11/16,9/14,12/15,16/32,3/5,6/9,2/4,3/8,2/6,19/40,4/8,4/6,3/6,5/10,3/10,2/4,0/0,0/0,0/0,0/1,2/3,4/7,2/2,0/1,2/2,0/1,0/1,15,3,3,3,3,3,15,3,3,3,3,3,143,62,211,81,219,223,142,65,58,68,232,173,20/73,2/17,5/11,5/16,5/14,3/15,23/79,5/20,2/8,3/17,5/14,8/20,21/40,4/8,2/6,3/6,5/10,7/10,16/32,2/5,3/9,2/4,5/8,4/6,3/7,0/2,1/1,0/2,1/1,1/1,2/4,0/0,0/0,0/0,1/1,1/3,72/111,18/25,12/17,16/21,12/22,14/26,72/113,19/25,10/17,14/22,14/24,15/25,41/113,6/25,7/17,8/22,10/24,10/25,39/111,7/25,5/17,5/21,10/22,12/26,113/224,24/50,19/34,24/43,22/46,24/51,111/224,26/50,15/34,19/43,24/46,27/51
2022,7696,2022/7696/MS011,2022-11-08,Hard,Centre Court,"",Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Jiri Lehecka,Brandon Nakashima,"4-1, 4-3, 4-2",01:08:31,5,1,3,1,,,7,3,2,2,,,3,0,2,1,,,1,0,0,1,,,211,191,222,192,,,269,323,233,254,,,42/56,11/13,20/25,11/18,"","",35/56,13/17,11/21,11/18,"","",23/42,6/11,11/20,6/11,"","",23/35,9/13,8/11,6/11,"","",4/14,0/2,1/5,3/7,"","",12/21,3/4,4/10,5/7,"","",6/10,3/4,2/3,1/3,"","",4/6,2/2,0/1,2/3,"","",8,2,3,3,,,9,3,3,3,,,132,56,220,140,,,206,220,191,235,,,12/35,4/13,3/11,5/11,"","",19/42,5/11,9/20,5/11,"","",9/21,1/4,6/10,2/7,"","",10/14,2/2,4/5,4/7,"","",2/6,0/2,1/1,1/3,"","",4/10,1/4,1/3,2/3,"","",27/56,6/13,12/25,9/18,"","",35/56,12/17,12/21,11/18,"","",21/56,5/17,9/21,7/18,"","",29/56,7/13,13/25,9/18,"","",48/112,11/30,21/46,16/36,"","",64/112,19/30,25/46,20/36,"",""
2022,7696,2022/7696/MS013,2022-11-08,Hard,Centre Court,Round Robin,Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Francesco Passaro,Jiri Lehecka,"4-1, 4-3, 4-1",01:04:49,4,1,2,1,,,4,3,1,0,,,2,1,1,0,,,1,0,1,0,,,237,205,253,233,,,278,306,228,308,,,33/47,8/12,18/24,7/11,"","",46/57,13/17,17/22,16/18,"","",19/33,5/8,11/18,3/7,"","",32/46,10/13,11/17,11/16,"","",7/14,1/4,3/6,3/4,"","",4/11,2/4,1/5,1/2,"","",2/5,1/2,0/1,1/2,"","",2/3,1/1,0/1,1/1,"","",7,2,3,2,,,9,3,3,3,,,138,73,248,81,,,194,213,222,182,,,14/46,3/13,6/17,5/16,"","",14/33,3/8,7/18,4/7,"","",7/11,2/4,4/5,1/2,"","",7/14,3/4,3/6,1/4,"","",1/3,0/1,1/1,0/1,"","",3/5,1/2,1/1,1/2,"","",26/47,6/12,14/24,6/11,"","",36/57,12/17,12/22,12/18,"","",21/57,5/17,10/22,6/18,"","",21/47,6/12,10/24,5/11,"","",47/104,11/29,24/46,12/29,"","",57/104,18/29,22/46,17/29,"",""
2022,7696,2022/7696/MS017,2022-11-08,Hard,Centre Court,Round Robin,Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Chun-Hsin Tseng,Lorenzo Musetti,"4-2, 4-2, 4-2",01:10:21,0,0,0,0,,,4,2,0,2,,,1,1,0,0,,,0,0,0,0,,,212,174,244,218,,,285,249,383,269,,,33/53,12/18,12/19,9/16,"","",35/48,13/18,10/12,12/18,"","",20/33,7/12,7/12,6/9,"","",31/35,9/13,10/10,12/12,"","",7/20,1/6,4/7,2/7,"","",4/13,2/5,2/2,0/6,"","",4/8,2/4,1/2,1/2,"","",2/3,1/2,0/0,1/1,"","",9,3,3,3,,,9,3,3,3,,,124,174,0,100,,,198,241,168,187,,,4/35,4/13,0/10,0/12,"","",13/33,5/12,5/12,3/9,"","",9/13,3/5,0/2,6/6,"","",13/20,5/6,3/7,5/7,"","",1/3,1/2,0/0,0/1,"","",4/8,2/4,1/2,1/2,"","",27/53,8/18,11/19,8/16,"","",35/48,11/18,12/12,12/18,"","",13/48,7/18,0/12,6/18,"","",26/53,10/18,8/19,8/16,"","",40/101,15/36,11/31,14/34,"","",61/101,21/36,20/31,20/34,"",""
2022,7696,2022/7696/MS019,2022-11-08,Hard,Centre Court,"",Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Chun-Hsin Tseng,Jack Draper,"1-4, 4-2, 4-3, 4-2",01:32:45,1,0,0,1,0,,6,2,1,3,0,,4,1,1,1,1,,2,0,0,1,1,,265,285,251,293,247,,296,225,351,319,274,,49/74,10/18,12/17,12/20,15/19,"",37/63,4/10,8/13,13/21,12/19,"",35/49,8/10,9/12,10/12,8/15,"",33/37,4/4,7/8,12/13,10/12,"",12/25,4/8,2/5,4/8,2/4,"",14/26,2/6,5/5,5/8,2/7,"",1/3,0/0,0/1,0/0,1/2,"",2/3,0/1,0/0,0/0,2/2,"",12,3,3,3,3,,11,2,3,3,3,,99,217,13,46,88,,164,70,218,67,180,,4/37,0/4,1/8,1/13,2/12,"",14/49,2/10,3/12,2/12,7/15,"",12/26,4/6,0/5,3/8,5/7,"",13/25,4/8,3/5,4/8,2/4,"",1/3,1/1,0/0,0/0,0/2,"",2/3,0/0,1/1,0/0,1/2,"",47/74,12/18,11/17,14/20,10/19,"",47/63,6/10,12/13,17/21,12/19,"",16/63,4/10,1/13,4/21,7/19,"",27/74,6/18,6/17,6/20,9/19,"",63/137,16/28,12/30,18/41,17/38,"",74/137,12/28,18/30,23/41,21/38,""
2022,7696,2022/7696/MS020,2022-11-08,Hard,Centre Court,Round Robin,Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Jack Draper,Dominic Stricker,"4-3, 4-3, 4-3",01:26:13,10,4,1,5,,,14,5,7,2,,,1,0,1,0,,,3,1,1,1,,,286,252,284,296,,,302,247,303,336,,,44/68,17/21,14/23,13/24,"","",43/66,16/25,15/21,12/20,"","",36/44,13/17,11/14,12/13,"","",37/43,11/16,14/15,12/12,"","",10/24,1/4,4/9,5/11,"","",12/23,4/9,2/6,6/8,"","",6/7,2/3,0/0,4/4,"","",0/1,0/1,0/0,0/0,"","",9,3,3,3,,,9,3,3,3,,,173,220,74,25,,,101,165,77,63,,,6/43,5/16,1/15,0/12,"","",8/44,4/17,3/14,1/13,"","",11/23,5/9,4/6,2/8,"","",14/24,3/4,5/9,6/11,"","",1/1,1/1,0/0,0/0,"","",1/7,1/3,0/0,0/4,"","",46/68,14/21,15/23,17/24,"","",49/66,15/25,16/21,18/20,"","",17/66,10/25,5/21,2/20,"","",22/68,7/21,8/23,7/24,"","",63/134,24/46,20/44,19/44,"","",71/134,22/46,24/44,25/44,"",""
2022,352,2022/352/MS001,2022-10-31,Hard,Court Central,Final,Rolex Paris Masters,Paris,56,Novak Djokovic,Holger Rune,"3-6, 6-3, 7-5",02:33:07,8,2,4,2,,,6,0,2,4,,,2,1,1,0,,,7,4,1,2,,,280,321,268,244,,,267,244,293,264,,,51/80,16/26,11/20,24/34,"","",69/109,14/22,20/36,35/51,"","",42/51,14/16,10/11,18/24,"","",49/69,10/14,16/20,23/35,"","",14/29,7/10,4/9,3/10,"","",19/40,3/8,9/16,7/16,"","",0/3,0/0,0/1,0/2,"","",10/12,0/1,3/3,7/8,"","",15,5,4,6,,,15,4,5,6,,,112,217,64,119,,,190,43,190,228,,,20/69,4/14,4/20,12/35,"","",9/51,2/16,1/11,6/24,"","",21/40,5/8,7/16,9/16,"","",15/29,3/10,5/9,7/10,"","",2/12,1/1,0/3,1/8,"","",3/3,0/0,1/1,2/2,"","",56/80,21/26,14/20,21/34,"","",68/109,13/22,25/36,30/51,"","",41/109,9/22,11/36,21/51,"","",24/80,5/26,6/20,13/34,"","",97/189,30/48,25/56,42/85,"","",92/189,18/48,31/56,43/85,"",""
2022,352,2022/352/MS002,2022-10-31,Hard,Court Central,Semifinal,Rolex Paris Masters,Paris,56,Felix Auger-Aliassime,Holger Rune,"6-4, 6-2",01:27:45,4,2,2,,,,5,2,3,,,,2,1,1,,,,1,1,0,,,,240,254,223,,,,309,273,317,,,,47/64,21/32,26/32,"","","",37/47,24/27,13/20,"","","",30/47,15/21,15/26,"","","",32/37,20/24,12/13,"","","",6/17,4/11,2/6,"","","",4/10,0/3,4/7,"","","",5/8,1/2,4/6,"","","",0/0,0/0,0/0,"","","",9,5,4,,,,9,5,4,,,,74,117,51,,,,172,163,192,,,,5/37,4/24,1/13,"","","",17/47,6/21,11/26,"","","",6/10,3/3,3/7,"","","",11/17,7/11,4/6,"","","",0/0,0/0,0/0,"","","",3/8,1/2,2/6,"","","",36/64,19/32,17/32,"","","",36/47,20/27,16/20,"","","",11/47,7/27,4/20,"","","",28/64,13/32,15/32,"","","",47/111,26/59,21/52,"","","",64/111,33/59,31/52,"","",""
2022,352,2022/352/MS003,2022-10-31,Hard,Court Central,Semifinal,Rolex Paris Masters,Paris,56,Stefanos Tsitsipas,Novak Djokovic,"6-2, 3-6, 7-6",02:19:48,9,3,4,2,,,11,2,5,4,,,1,1,0,0,,,0,0,0,0,,,284,220,305,300,,,316,350,243,340,,,61/89,16/24,15/23,30/42,"","",49/78,11/17,20/29,18/32,"","",44/61,10/16,11/15,23/30,"","",41/49,11/11,13/20,17/18,"","",14/28,3/8,5/8,6/12,"","",21/29,5/6,4/9,12/14,"","",4/6,0/2,0/0,4/4,"","",0/2,0/0,0/2,0/0,"","",14,4,4,6,,,15,4,5,6,,,157,17,231,20,,,125,251,65,73,,,8/49,0/11,7/20,1/18,"","",17/61,6/16,4/15,7/30,"","",8/29,1/6,5/9,2/14,"","",14/28,5/8,3/8,6/12,"","",2/2,0/0,2/2,0/0,"","",2/6,2/2,0/0,0/4,"","",58/89,13/24,16/23,29/42,"","",62/78,16/17,17/29,29/32,"","",16/78,1/17,12/29,3/32,"","",31/89,11/24,7/23,13/42,"","",74/167,14/41,28/52,32/74,"","",93/167,27/41,24/52,42/74,"",""
